"code","error","x-global-transaction-id","usage__text_units","usage__text_characters","usage__features","language","keywords__text","keywords__sentiment__score","keywords__sentiment__label","keywords__relevance","keywords__emotion__sadness","keywords__emotion__joy","keywords__emotion__fear","keywords__emotion__disgust","keywords__emotion__anger"
"","","","1","32","1","en","","","","","","","","",""
"","","","1","33","1","en","","","","","","","","",""
"","","","1","91","1","en","glitter","0.814295","positive","0.941548","0.174023","0.294694","0.092019","0.09759","0.091114"
"","","","1","24","1","en","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72ccd70bce0581","","","","","","","","","","","","",""
"","","","1","94","1","en","good glide","0.952218","positive","0.901824","0.114959","0.722951","0.066616","0.052018","0.05459"
"","","","1","124","1","en","lips","0.773274","positive","0.984322","0.146437","0.762574","0.061136","0.033738","0.01742"
"","","","1","87","1","en","neutral pink color","-0.770789","negative","0.992671","0.016044","0.832931","0.018289","0.010158","0.015431"
"","","","1","30","1","en","","","","","","","","",""
"","","","1","9","1","en","color","0.438365","positive","0.927397","0","0","0","0","0"
"","","","1","21","1","en","glossiness","0","neutral","0.91615","0.15857","0.543518","0.062614","0.118477","0.075906"
"","","","1","38","1","en","w/e  great  color","0","neutral","0.948733","0.011234","0.687042","0.024503","0.00162","0.005112"
"","","","1","44","1","en","perfect color","0.570244","positive","0.991605","0.026543","0.841549","0.015572","0.001602","0.00812"
"","","","1","49","1","en","lips easy application","0.66551","positive","0.982962","0.113893","0.539285","0.026389","0.065507","0.065124"
"","","","1","109","1","en","applicator","0.629374","positive","0.930035","0.123132","0.242436","0.032568","0.138802","0.090396"
"","","","1","64","1","en","EVENLY A/E N/E","0.559949","positive","0.992377","0.06507","0.728867","0.159519","0.032608","0.023718"
"","","","1","122","1","en","applicator","0.869441","positive","0.913038","0.164374","0.773677","0.03316","0.008618","0.006589"
"","","","1","34","1","en","","","","","","","","",""
"","","","1","38","1","en","sticky feeling","-0.767796","negative","0.976552","0.540973","0.280329","0.205973","0.035932","0.053631"
"","","","1","74","1","en","good color","0.942685","positive","0.918866","0.069971","0.867495","0.046121","0.007245","0.011014"
"","","","1","59","1","en","lip gloss","0","neutral","0.923932","0.179832","0.53591","0.188935","0.116641","0.034654"
"400","not enough text provided for language detection","683fc2df5a72ccd70bce0241","","","","","","","","","","","","",""
"","","","1","14","1","en","applicator","0","neutral","0.981059","0","0","0","0","0"
"","","","1","23","1","en","lips moist","0","neutral","0.996328","0.514354","0.108469","0.18675","0.194402","0.147874"
"","","","1","21","1","en","long time","0","neutral","0.992378","0.480654","0.227677","0.102244","0.057094","0.064392"
"","","","1","32","1","en","long lasting effect","0.639504","positive","0.98427","0.462767","0.100793","0.135976","0.035775","0.044896"
"400","not enough text provided for language detection","683fc2df5a72ccd70bce0481","","","","","","","","","","","","",""
"","","","1","14","1","en","","","","","","","","",""
"","","","1","88","1","en","applicator","0","neutral","0.922618","0.31909","0.184741","0.072925","0.081613","0.070039"
"","","","1","63","1","en","scent","0.638033","positive","0.943175","0.22541","0.436412","0.115949","0.119676","0.108759"
"","","","1","31","1","en","non shimmer product","0","neutral","0.901551","0.091242","0.695788","0.034358","0.013365","0.005752"
"","","","1","22","1","en","lasting","0","neutral","0.901829","0.406133","0.105535","0.096561","0.054501","0.072554"
"","","","1","137","1","en","goopy gloss","-0.858032","negative","0.96664","0.148831","0.179551","0.091248","0.074744","0.088473"
"","","","1","70","1","en","perfect shine","0.970025","positive","0.916516","0.034156","0.940373","0.007663","0.001317","0.003668"
"400","not enough text provided for language detection","683fc2df5a72ccd80bce0231","","","","","","","","","","","","",""
"","","","1","139","1","en","lip gloss","-0.665243","negative","0.969028","0.351722","0.278442","0.185707","0.174876","0.086953"
"","","","1","72","1","en","nice color","0.530126","positive","0.904817","0.045177","0.656549","0.029743","0.011926","0.039566"
"","","","1","39","1","en","glitter","0","neutral","0.943514","0.148831","0.182891","0.091248","0.074744","0.088473"
"","","","1","33","1","en","fact","0","neutral","0.987558","0.258089","0.339073","0.094863","0.266771","0.154032"
"","","","1","68","1","en","color","0.743389","positive","0.970229","0.024636","0.546438","0.005914","0.003134","0.005543"
"","","","1","53","1","en","easy application","0.959483","positive","0.967209","0.087198","0.55992","0.004076","0.001891","0.009311"
"","","","1","52","1","en","plump","0.656682","positive","0.945373","0.131161","0.742947","0.056115","0.038292","0.043212"
"","","","1","48","1","en","lips","0.880866","positive","0.995641","0.261052","0.5145","0.122123","0.120455","0.046687"
"","","","1","44","1","en","lips","0.64976","positive","0.936718","0.10182","0.746842","0.037064","0.055166","0.049788"
"","","","1","125","1","en","compliments","0.819845","positive","0.966355","0.096902","0.706752","0.003379","0.008563","0.009226"
"","","","1","60","1","en","lips","0.760694","positive","0.921469","0.302342","0.432993","0.232018","0.121766","0.023731"
"","","","1","48","1","en","nice packaging","0.911011","positive","0.985519","0.005987","0.739741","0.016046","0.00312","0.017272"
"","","","1","21","1","en","shiny look","0.816153","positive","0.954773","0.123499","0.406639","0.054607","0.096045","0.052561"
"","","","1","26","1","en","way","0.743745","positive","0.976031","0.200555","0.255347","0.064607","0.055234","0.061471"
"","","","1","41","1","en","applicator","0.863031","positive","0.963169","0.15857","0.543518","0.062614","0.118477","0.075906"
"","","","1","50","1","en","nice color","0.616639","positive","0.944664","0.006964","0.556855","0.023463","0.003892","0.024884"
"","","","1","17","1","en","texture","0.66694","positive","0.972405","0.088317","0.167914","0.072976","0.021813","0.053691"
"400","not enough text provided for language detection","683fc2df5a72ccd80bce0621","","","","","","","","","","","","",""
"","","","1","20","1","en","light color","0","neutral","0.95057","0.048605","0.229744","0.10294","0.01546","0.018962"
"","","","1","44","1","en","color","0","neutral","0.936944","0.085035","0.288312","0.066166","0.015896","0.043489"
"","","","1","20","1","en","shininess","0.746638","positive","0.91615","0.15857","0.543518","0.062614","0.118477","0.075906"
"400","not enough text provided for language detection","0e7fa6da5a72ccd8013c4bdb","","","","","","","","","","","","",""
"400","not enough text provided for language detection","0e7fa6da5a72ccd8013c4bcb","","","","","","","","","","","","",""
"","","","1","137","1","en","nice shimmer","0.860518","positive","0.980738","0.060106","0.854059","0.047071","0.01131","0.021539"
"","","","1","31","1","en","glossy glow shine","0.976715","positive","0.937021","0.189603","0.721861","0.013188","0.0036","0.023246"
"","","","1","49","1","en","texture","0.805908","positive","0.904467","0.117525","0.452044","0.072415","0.065423","0.037253"
"","","","1","93","1","en","glossy red color","0.93426","positive","0.955661","0.047489","0.788892","0.113142","0.010355","0.030244"
"400","not enough text provided for language detection","0e7fa6da5a72ccd80cd1b6e9","","","","","","","","","","","","",""
"","","","1","79","1","en","glare","0.828202","positive","0.974013","0.17375","0.288893","0.092497","0.096474","0.091108"
"","","","1","50","1","en","way","0.740776","positive","0.939133","0.213299","0.522049","0.114223","0.022781","0.034224"
"","","","1","126","1","en","lips","0.786132","positive","0.955804","0.552432","0.231045","0.112748","0.16651","0.089489"
"","","","1","74","1","en","color","0.840449","positive","0.956763","0.170243","0.263306","0.076385","0.022918","0.046421"
"","","","1","57","1","en","lips","-0.387435","negative","0.909582","0.615976","0.084305","0.145386","0.113242","0.065848"
"","","","1","43","1","en","longer","0","neutral","0.909812","0.323789","0.279645","0.150337","0.060239","0.086409"
"","","","1","66","1","en","nice feeling","0.961127","positive","0.974277","0.337274","0.646823","0.014596","0.005555","0.016756"
"","","","1","21","1","en","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72ccd80bce0471","","","","","","","","","","","","",""
"","","","1","17","1","en","","","","","","","","",""
"","","","1","37","1","en","applicator","0.751155","positive","0.929539","0.085035","0.288312","0.066166","0.015896","0.043489"
"","","","1","38","1","en","","","","","","","","",""
"","","","1","29","1","en","shine","0.940543","positive","0.911296","0.236634","0.606295","0.017833","0.009853","0.025034"
"","","","1","19","1","en","color","0.654092","positive","0.94062","0.012261","0.732326","0.026618","0.002061","0.006052"
"","","","1","51","1","en","long time","0.933588","positive","0.930318","0.179634","0.777686","0.009793","0.002683","0.006939"
"","","","1","38","1","en","lip glosses","-0.680475","negative","0.936241","0.513102","0.145824","0.12158","0.128103","0.117535"
"","","","1","45","1","en","nice shine","0.950761","positive","0.93444","0.06961","0.90538","0.004151","0.00097","0.006437"
"","","","1","52","1","en","red color","0.581586","positive","0.992639","0.033419","0.849368","0.021864","0.002067","0.003997"
"","","","1","146","1","en","lips","0.939705","positive","0.997728","0.454042","0.205316","0.142946","0.059441","0.061322"
"","","","1","43","1","en","lips","0.95208","positive","0.923925","0.111902","0.757998","0.093527","0.040275","0.026448"
"","","","1","20","1","en","shine","0.905722","positive","0.907137","0.146478","0.813344","0.005941","0.001969","0.008221"
"","","","1","66","1","en","shiny result","0","neutral","0.92318","0.328927","0.200783","0.094054","0.038693","0.117885"
"400","not enough text provided for language detection","683fc2df5a72ccd80bce0831","","","","","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72ccd80bce0791","","","","","","","","","","","","",""
"","","","1","94","1","en","lip gloss","0.838988","positive","0.966255","0.232886","0.361723","0.176028","0.117737","0.07483"
"","","","1","9","1","en","color","0.438365","positive","0.927397","0","0","0","0","0"
"","","","1","39","1","en","summer look","0.786578","positive","0.906242","0.020217","0.869756","0.018383","0.002332","0.006458"
"","","","1","69","1","en","","","","","","","","",""
"","","","1","184","1","en","good portion","0","neutral","0.956925","0.190946","0.662759","0.041182","0.003307","0.007345"
"","","","1","38","1","en","color","0.721404","positive","0.9914","0.116082","0.238508","0.076956","0.027223","0.054837"
