"code","error","x-global-transaction-id","usage__text_units","usage__text_characters","usage__features","language","keywords__text","keywords__sentiment__score","keywords__sentiment__label","keywords__relevance","keywords__emotion__sadness","keywords__emotion__joy","keywords__emotion__fear","keywords__emotion__disgust","keywords__emotion__anger"
"","","","1","34","1","en","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd460cab4d39","","","","","","","","","","","","",""
"","","","1","26","1","en","","","","","","","","",""
"","","","1","35","1","en","lips","-0.609667","negative","0.978134","0.170637","0.444468","0.146105","0.166261","0.183057"
"","","","1","16","1","en","","","","","","","","",""
"","","","1","61","1","en","product","0","neutral","0.918263","0.250135","0.084041","0.045922","0.014477","0.010965"
"400","not enough text provided for language detection","683fc2df5a72cd460cab4df9","","","","","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd460cab4e09","","","","","","","","","","","","",""
"","","","1","69","1","en","product","0","neutral","0.945153","0.329449","0.198303","0.058458","0.029393","0.017117"
"","","","1","63","1","en","","","","","","","","",""
"","","","1","112","1","en","glitter","-0.754461","negative","0.999439","0.476204","0.082458","0.079575","0.06156","0.116519"
"","","","1","163","1","en","scent","0.757677","positive","0.910969","0.103828","0.547756","0.092421","0.238392","0.056167"
"400","not enough text provided for language detection","683fc2df5a72cd460bce3d41","","","","","","","","","","","","",""
"","","","1","23","1","en","","","","","","","","",""
"","","","1","48","1","en","","","","","","","","",""
"","","","1","16","1","en","","","","","","","","",""
"","","","1","43","1","en","","","","","","","","",""
"","","","1","30","1","en","color","-0.589157","negative","0.910611","0.279564","0.631869","0.059639","0.01523","0.03296"
"","","","1","35","1","en","color","-0.49973","negative","0.910611","0.097658","0.424196","0.075849","0.054009","0.274441"
"","","","1","36","1","en","results","-0.736766","negative","0.950957","0.700537","0.036626","0.184951","0.032213","0.307446"
"","","","1","111","1","en","sparkles","-0.675592","negative","0.953275","0.447791","0.097966","0.23444","0.091642","0.358908"
"","","","1","36","1","en","stronger scent","0","neutral","0.925652","0.147804","0.359679","0.058089","0.044154","0.060409"
