"code","error","x-global-transaction-id","usage__text_units","usage__text_characters","usage__features","language","keywords__text","keywords__sentiment__score","keywords__sentiment__label","keywords__relevance","keywords__emotion__sadness","keywords__emotion__joy","keywords__emotion__fear","keywords__emotion__disgust","keywords__emotion__anger"
"","","","1","181","1","en","shine watery result","0.997227","positive","0.942928","0.1316","0.792265","0.034323","0.02636","0.014352"
"","","","1","21","1","en","","","","","","","","",""
"","","","1","78","1","en","minimal effort","0.656748","positive","0.931382","0.63033","0.175711","0.079798","0.16095","0.090687"
"","","","1","59","1","en","nourishing affect. jojoba","0","neutral","0.935322","0.238365","0.188505","0.111539","0.140139","0.065876"
"400","invalid request: content is empty","683fc2df5a72cdbd0b11a42d","","","","","","","","","","","","",""
"","","","1","23","1","en","","","","","","","","",""
"","","","1","91","1","en","jelly gloss","0","neutral","0.992576","0.604938","0.080266","0.23639","0.197796","0.11154"
"","","","1","89","1","en","great lipgloss","0.671744","positive","0.93867","0.043577","0.740931","0.050559","0.026645","0.027305"
"","","","1","122","1","en","lips","0","neutral","0.977556","0.441708","0.227652","0.20657","0.216697","0.104086"
"","","","1","85","1","en","tasty jelly gloss","0.890952","positive","0.92546","0.064248","0.422189","0.021506","0.029237","0.031122"
"","","","1","16","1","en","","","","","","","","",""
"","","","1","52","1","en","idea volumizing","0.790633","positive","0.923487","0.168529","0.541943","0.111447","0.15164","0.06809"
"","","","1","116","1","en","color","0.77037","positive","0.984935","0.050083","0.642651","0.07894","0.016369","0.054203"
"","","","1","17","1","en","","","","","","","","",""
"","","","1","83","1","en","natural waxes","0.633267","positive","0.949026","0.377526","0.219585","0.150118","0.020478","0.01034"
"","","","1","49","1","en","smooth glide","0.864904","positive","0.966616","0.183962","0.552337","0.079078","0.039995","0.062916"
"","","","1","61","1","en","new applicator","0.437683","positive","0.910371","0.223891","0.498327","0.201696","0.112317","0.051114"
"","","","1","15","1","en","","","","","","","","",""
