"code","error","x-global-transaction-id","usage__text_units","usage__text_characters","usage__features","language","keywords__text","keywords__sentiment__score","keywords__sentiment__label","keywords__relevance","keywords__emotion__sadness","keywords__emotion__joy","keywords__emotion__fear","keywords__emotion__disgust","keywords__emotion__anger"
"","","","1","34","1","en","","","","","","","","",""
"400","not enough text provided for language detection","0e7fa6da5a72ce370ce14a55","","","","","","","","","","","","",""
"","","","1","25","1","en","","","","","","","","",""
"400","not enough text provided for language detection","0e7fa6da5a72ce370ce14a65","","","","","","","","","","","","",""
"","","","1","16","1","en","","","","","","","","",""
"","","","1","18","1","en","","","","","","","","",""
"400","not enough text provided for language detection","0e7fa6da5a72ce370ce14b55","","","","","","","","","","","","",""
"400","not enough text provided for language detection","0e7fa6da5a72ce370ce14b95","","","","","","","","","","","","",""
"","","","1","128","1","en","precise application","-0.408316","negative","0.997861","0.146594","0.141833","0.00691","0.04397","0.093905"
"","","","1","86","1","en","shimmer affect","0","neutral","0.9235","0.361594","0.292145","0.143102","0.049307","0.066258"
"","","","1","50","1","en","jelly gloss","0","neutral","0.949403","0.144428","0.135501","0.078532","0.042441","0.068617"
"","","","1","41","1","en","","","","","","","","",""
"","","","1","187","1","en","lips","-0.456308","negative","0.938641","0.44892","0.097789","0.147266","0.305417","0.25553"
"","","","1","114","1","en","delectable water result","0","neutral","0.956801","","","","",""
"","","","1","75","1","en","product","0","neutral","0.939133","0.401363","0.076544","0.142238","0.089662","0.033408"
"","","","1","72","1","en","description","-0.492611","negative","0.940985","0.291796","0.078073","0.103657","0.300431","0.404331"
"","","","1","20","1","en","","","","","","","","",""
"400","not enough text provided for language detection","0e7fa6da5a72ce370ce14b25","","","","","","","","","","","","",""
"","","","1","15","1","en","","","","","","","","",""
"","","","1","159","1","en","lip glosses","-0.701601","negative","0.909584","0.356529","0.241172","0.168151","0.120461","0.15557"
"400","not enough text provided for language detection","0e7fa6da5a72ce370ce14a75","","","","","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72ce370cabdf19","","","","","","","","","","","","",""
"","","","1","48","1","en","jelly type gloss","-0.59154","negative","0.907154","0.170272","0.08514","0.080438","0.100463","0.063434"
"","","","1","51","1","en","jelly","-0.54769","negative","0.930167","0.227466","0.197469","0.059929","0.044709","0.030651"
"","","","1","69","1","en","long time","-0.478749","negative","0.910506","0.509646","0.073642","0.082278","0.129666","0.336367"
"","","","1","44","1","en","ingredient","0","neutral","0.956498","0.17522","0.226042","0.067479","0.133998","0.078377"
"","","","1","47","1","en","flavor","-0.697945","negative","0.911826","0.068085","0.128558","0.034843","0.058654","0.147371"
"","","","1","30","1","en","picture","-0.853276","negative","0.908172","0.173323","0.199544","0.193101","0.219949","0.100502"
"","","","1","26","1","en","","","","","","","","",""
"400","not enough text provided for language detection","0e7fa6da5a72ce370ce14955","","","","","","","","","","","","",""
"400","not enough text provided for language detection","0e7fa6da5a72ce370ce14975","","","","","","","","","","","","",""
"","","","1","39","1","en","lips","0.753908","positive","0.907366","0.522275","0.173371","0.158993","0.21568","0.159783"
"","","","1","16","1","en","tasty effect","0.800404","positive","0.993928","0.235125","0.10498","0.136586","0.027682","0.036467"
"","","","1","62","1","en","watery texture","-0.365735","negative","0.995399","0.122064","0.178192","0.208345","0.164963","0.090648"
"","","","1","34","1","en","","","","","","","","",""
"400","not enough text provided for language detection","0e7fa6da5a72ce370ce14c55","","","","","","","","","","","","",""
"400","not enough text provided for language detection","0e7fa6da5a72ce370ce14985","","","","","","","","","","","","",""
"400","not enough text provided for language detection","0e7fa6da5a72ce370ce14965","","","","","","","","","","","","",""
"","","","1","35","1","en","description","0","neutral","0.932581","0.109443","0.19265","0.052991","0.045467","0.058367"
"","","","1","108","1","en","innovative jelly gloss","0","neutral","0.915811","0.229949","0.408124","0.310849","0.085458","0.083895"
"400","invalid request: content is empty","0e7fa6da5a72ce370ce14a05","","","","","","","","","","","","",""
"","","","1","111","1","en","jelly formula","0","neutral","0.962741","0.161853","0.258023","0.152169","0.077874","0.10308"
"","","","1","91","1","en","watery","-0.52997","negative","0.998685","0.735472","0.069392","0.204938","0.049665","0.054071"
"","","","1","43","1","en","","","","","","","","",""
"","","","1","142","1","en","hydraboost colmplexes","0","neutral","0.993668","0.064361","0.422564","0.16111","0.163198","0.039499"
"","","","1","25","1","en","","","","","","","","",""
"400","not enough text provided for language detection","0e7fa6da5a72ce370ce14bb5","","","","","","","","","","","","",""
"","","","1","51","1","en","result","-0.736154","negative","0.978394","0.195437","0.044585","0.041226","0.093893","0.645231"
"400","not enough text provided for language detection","683fc2df5a72ce37013707db","","","","","","","","","","","","",""
"400","not enough text provided for language detection","0e7fa6da5a72ce370ce14d75","","","","","","","","","","","","",""
"","","","1","107","1","en","thing","-0.748429","negative","0.91485","0.534469","0.047291","0.062967","0.345432","0.323021"
"","","","1","26","1","en","things","0","neutral","0.984344","0.26052","0.151996","0.111538","0.05835","0.160877"
"","","","1","65","1","en","lips","-0.630601","negative","0.992444","0.166038","0.077495","0.077411","0.104276","0.054163"
"","","","1","14","1","en","scent","-0.819025","negative","0.977193","0.151545","0.174219","0.093654","0.072945","0.08686"
"","","","1","40","1","en","","","","","","","","",""
"","","","1","36","1","en","","","","","","","","",""
"","","","1","25","1","en","","","","","","","","",""
"","","","1","62","1","en","","","","","","","","",""
"400","invalid request: content is empty","683fc2df5a72ce370cabe059","","","","","","","","","","","","",""
"400","invalid request: content is empty","0e7fa6da5a72ce380ce14a15","","","","","","","","","","","","",""
"","","","1","35","1","en","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72ce370cabe239","","","","","","","","","","","","",""
"","","","1","14","1","en","","","","","","","","",""
