"code","error","x-global-transaction-id","usage__text_units","usage__text_characters","usage__features","language","keywords__text","keywords__sentiment__score","keywords__sentiment__label","keywords__relevance","keywords__emotion__sadness","keywords__emotion__joy","keywords__emotion__fear","keywords__emotion__disgust","keywords__emotion__anger"
"","","","1","16","1","en","","","","","","","","",""
"400","invalid request: content is empty","683fc2df5a72ce910bcf0191","","","","","","","","","","","","",""
"","","","1","36","1","en","little less shimmery","0","neutral","0.958662","0.271395","0.131417","0.171982","0.021271","0.084988"
"400","invalid request: content is empty","683fc2df5a72ce910bcf0091","","","","","","","","","","","","",""
"400","invalid request: content is empty","683fc2df5a72ce910bcf01d1","","","","","","","","","","","","",""
"","","","1","58","1","en","","","","","","","","",""
"400","invalid request: content is empty","683fc2df5a72ce910bcf01e1","","","","","","","","","","","","",""
"400","invalid request: content is empty","683fc2df5a72ce910bcf0081","","","","","","","","","","","","",""
"","","","1","86","1","en","sample","0","neutral","0.97923","0.342791","0.232037","0.108431","0.115164","0.257695"
"","","","1","71","1","en","comfortable wear","0.748646","positive","0.977142","0.286051","0.248385","0.211385","0.229203","0.129402"
"","","","1","22","1","en","","","","","","","","",""
"","","","1","25","1","en","color","0.696341","positive","0.976031","0.057044","0.647886","0.024008","0.00494","0.032302"
"","","","1","38","1","en","try","0.708954","positive","0.948451","0.276631","0.291158","0.124324","0.06545","0.088349"
"","","","1","38","1","en","feel","0.866332","positive","0.930763","0.350765","0.290932","0.135555","0.038247","0.046028"
"","","","1","14","1","en","shinn","0.821579","positive","0.961522","0.003296","0.991342","0.000643","0.000509","0.001159"
"","","","1","34","1","en","glittery","0","neutral","0.943748","0.151545","0.174219","0.093654","0.072945","0.08686"
"","","","1","42","1","en","lighter.","0","neutral","0.943882","0.065093","0.595329","0.25124","0.015841","0.019855"
"400","invalid request: content is empty","683fc2df5a72ce910bcf00b1","","","","","","","","","","","","",""
"","","","1","41","1","en","color","0","neutral","0.954019","0.119383","0.526229","0.034617","0.011754","0.058482"
