relations__type,relations__sentence,relations__score,relations__arguments__text,relations__arguments__location__001,relations__arguments__location__002,relations__arguments__entities__type,relations__arguments__entities__text,relations__arguments__entities__disambiguation__subtype__-,language,keywords__text,keywords__sentiment__score,keywords__sentiment__label,keywords__relevance,keywords__emotion__sadness,keywords__emotion__joy,keywords__emotion__fear,keywords__emotion__disgust,keywords__emotion__anger,entities__type,entities__text,entities__sentiment__score,entities__sentiment__label,entities__relevance,entities__emotion__sadness,entities__emotion__joy,entities__emotion__fear,entities__emotion__disgust,entities__emotion__anger,entities__disambiguation__subtype__001,entities__disambiguation__subtype__002,entities__disambiguation__subtype__003,entities__disambiguation__subtype__004,entities__disambiguation__name,entities__disambiguation__dbpedia_resource,entities__count
,,,,,,,,,en,pain medication,"0,00%",neutral,"95,52%","92,79%","3,32%","3,05%","2,49%","8,03%",,,,,,,,,,,,,,,,,
,,,,,,,,,,invalid standing,"0,00%",neutral,"94,34%","92,79%","3,32%","3,05%","2,49%","8,03%",,,,,,,,,,,,,,,,,
,,,,,,,,,,multiple suffering,"0,00%",neutral,"92,81%","92,79%","3,32%","3,05%","2,49%","8,03%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,question,"-84,72%",negative,"90,03%","82,59%","1,34%","16,54%","9,76%","9,40%",,,,,,,,,,,,,,,,,
,,,,,,,,,,miss,"-84,72%",negative,"89,26%","82,59%","1,34%","16,54%","9,76%","9,40%",,,,,,,,,,,,,,,,,
,,,,,,,,,,message,"-84,72%",negative,"78,39%","82,59%","1,34%","16,54%","9,76%","9,40%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,specialist,"-82,75%",negative,"97,66%","26,03%","2,45%","54,61%","2,44%","13,96%",Quantity,four months,"0,00%",neutral,"1,00%",,,,,,,,,,,,1
,,,,,,,,,,appointment,"-54,95%",negative,"79,12%","16,24%","12,53%","7,05%","6,45%","12,55%",,,,,,,,,,,,,,,,,
,,,,,,,,,,doctor,"-82,75%",negative,"72,76%","26,03%","2,45%","54,61%","2,44%","13,96%",,,,,,,,,,,,,,,,,
agentOf,"Now all my exams are through asking, now I done some reviews Routine to see if my disability is always.","71,60%",my,371,373,Person,my,,en,addition people,"-74,68%",negative,"98,57%","72,21%","1,52%","5,10%","30,52%","16,09%",,,,,,,,,,,,,,,,,
,,,asking,392,398,EventCommunication,asking,,,social security,"0,00%",neutral,"95,02%","35,71%","40,97%","20,84%","4,33%","2,33%",,,,,,,,,,,,,,,,,
,,,,,,,,,,declaration,"0,00%",neutral,"69,20%","35,71%","40,97%","20,84%","4,33%","2,33%",,,,,,,,,,,,,,,,,
agentOf,"In the continuity of the response, the diagnosis has therefore never évolué.je have absolutely no appointments or review planned for disability in the months or years ahead; physicians have always had the same speech on my pathology therefore no opinion differ","53,61%",physicians,216,226,Person,physicians,,en,opinion differ,"-62,07%",negative,"99,66%","23,08%","36,01%","8,90%","11,18%","18,13%",,,,,,,,,,,,,,,,,
,,,speech,252,258,EventPerformance,speech,,,social security,"-49,56%",negative,"85,53%","10,23%","8,94%","49,73%","6,11%","8,41%",,,,,,,,,,,,,,,,,
participantIn,"In the continuity of the response, the diagnosis has therefore never évolué.je have absolutely no appointments or review planned for disability in the months or years ahead; physicians have always had the same speech on my pathology therefore no opinion differ","36,16%",my,262,264,Person,my,,,appointment,"-49,56%",negative,"71,52%","10,23%","8,94%","49,73%","6,11%","8,41%",,,,,,,,,,,,,,,,,
,,,speech,252,258,EventPerformance,speech,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,insurance disability level,"-91,93%",negative,"94,29%","17,42%","1,83%","14,41%","16,00%","12,01%",,,,,,,,,,,,,,,,,
